Experiment,Source quality,Daily equal-vol scale,Observations,Years,CAGR,Log growth,Volatility,Sharpe,Max drawdown,Worst day,Skew,CAGR uplift vs baseline,Mean daily PnL difference,Stdev daily PnL difference,Daily t-stat requested formula,Daily Newey-West t-stat 5 lags,Daily Newey-West t-stat 20 lags,Weekly t-stat from same daily P&Ls,Category,Hypothesis,Daily full-search max-t adjusted p
Combined: QQQ 100% + styles 15% + fast 4/26,Direct daily source P&L,1.0448208689892513,4719,18.726190476190474,0.4237418580108787,0.3532885170699295,0.3249869993526077,1.2099328543702688,-0.3914263898691255,-0.11302739951444225,-0.36035605138963583,0.06600963542431626,0.00018833252618219028,0.004188387992240305,3.088896912946201,2.9220464354063385,2.928808007014874,2.9669373264982655,Combined candidate,,0.14247669773635152
Combined: QQQ 75% + styles 15% + fast 4/26,Direct daily source P&L,1.0474267009060725,4719,18.726190476190474,0.4064620664605789,0.34107737841740304,0.3249845073001962,1.1724035130738057,-0.4066738082218553,-0.1206133130959652,-0.3984958060900691,0.048729843874016465,0.0001399315899863549,0.003333142903546817,2.883944004598059,2.701988707483443,2.627652291326196,2.799274776110925,Combined candidate,,0.2010652463382157
Combined: QQQ 100% + styles 20% + fast 4/26,Direct daily source P&L,1.0509651302867293,4719,18.726190476190474,0.4312319567223575,0.35853558158408005,0.3249871316525756,1.2261243008165503,-0.3959793567421587,-0.11461992386088785,-0.3713855229778532,0.07349973413579503,0.00020921435195616413,0.005647309176356786,2.5449244679921703,2.385501815718612,2.3514239209198835,2.4651620876798073,Combined candidate,,0.33422103861517977
Combined: QQQ share 100% + fast 4/26 vol,Direct daily source P&L,1.0396338427821086,4719,18.726190476190474,0.40863033874699894,0.34261784132454576,0.32498709765378203,1.1770326714840789,-0.44229366972391015,-0.11096361913491568,-0.3489487540170725,0.05089811616043649,0.00014590173476150873,0.003973882297381945,2.5221472874615225,2.432357273363399,2.3829930767525522,2.44570072417792,Combined candidate,,0.340878828229028
Combined: QQQ 75% + gold-only static commodities + fast 4/26,Direct daily source P&L,1.031225115550471,4719,18.726190476190474,0.3967004343844418,0.3341126223372312,0.3249844931840723,1.150916611885383,-0.44299225524166197,-0.11949801411873254,-0.3848079714603537,0.03896821179787935,0.0001122203086917625,0.0030692875030910354,2.5116485917312033,2.4305721486317498,2.4146880308909844,2.3543425659217796,Combined candidate,,0.34753661784287615
Combined: QQQ 75% + remove Silver + fast 4/26,Direct daily source P&L,1.0338243062948125,4719,18.726190476190474,0.39434865877203595,0.33242739496179197,0.32498444538378884,1.1457282552363086,-0.4375833714577355,-0.11879171374024747,-0.3868116507487155,0.0366164361854735,0.00010552897571180495,0.002890277957518027,2.5081707605904517,2.417865757204327,2.4028757091245923,2.3705418066906203,Combined candidate,,0.3488681757656458
Combined: QQQ share 75% + fast 4/26 vol,Direct daily source P&L,1.0417542401916728,4719,18.726190476190474,0.3916528197804878,0.3304921197268766,0.32498479775108524,1.1397714214276577,-0.4319782366023023,-0.11900901819268382,-0.3886217774421534,0.03392059719392537,9.78465511569975e-05,0.0027238624802063526,2.46766006956151,2.369841720766251,2.355621604720247,2.4373931998428673,Combined candidate,,0.36617842876165113
Combined: moderated grid-inspired static + fast 4/26,Direct daily source P&L,1.026572086571428,4719,18.726190476190474,0.4028200012107499,0.3384844972452224,0.3249850843077201,1.1643730056889476,-0.43640840415791693,-0.10702294937278918,-0.3789052359341002,0.04508777862418745,0.0001295747848273119,0.004154723400067623,2.1424138585589714,2.077661867194669,2.0651263090239387,1.938802634175575,Combined candidate,,0.5752330226364847
Static: QQQ share of equity 75%,Direct daily source P&L,1.0410549808214336,4719,18.726190476190474,0.3698636449878574,0.3147112056807299,0.32498286506541124,1.0912337991586512,-0.4527585279034966,-0.11165748191021575,-0.42120960083043113,0.012131422401294945,3.524842719895274e-05,0.0011431259058894431,2.11821805268391,2.1297557420407673,2.080540871821881,2.0156138753051254,Static risk budgets,Change the QQQ versus broad-US mix while holding total direct-equity risk fixed.,0.59254327563249
Combined: QQQ 75% + styles 20% + fast 4/26,Direct daily source P&L,1.0540282319734349,4719,18.726190476190474,0.4144084592454593,0.346711393684728,0.3249844596139572,1.1897726167847935,-0.410874653925547,-0.12168209069385359,-0.4035928309176389,0.05667623665889687,0.00016233221977235104,0.00527522497535356,2.113920887771334,1.975884417354919,1.879282401005668,2.085416521024302,Combined candidate,,0.59254327563249
"Vol forecast: fast 4w, slow 52w, floor 2%",Direct daily source P&L,1.049105940065873,4719,18.726190476190474,0.382091885951652,0.3235982107992743,0.32498337016582424,1.1186374777201071,-0.4198812612725086,-0.1256523787313389,-0.4327346560078008,0.024359663365089546,7.059047296273548e-05,0.0022986086133530976,2.109628824050773,2.035198430467748,1.988955549676693,2.15260035106086,Volatility targeting,Change the speed and floor of the no-lookahead volatility estimator.,0.596537949400799
"Vol forecast: fast 4w, slow 52w, floor 1%",Direct daily source P&L,1.049105940065873,4719,18.726190476190474,0.382091885951652,0.3235982107992743,0.32498337016582424,1.1186374777201071,-0.4198812612725086,-0.1256523787313389,-0.4327346560078008,0.024359663365089546,7.059047296273548e-05,0.0022986086133530976,2.109628824050773,2.035198430467748,1.988955549676693,2.15260035106086,Volatility targeting,Change the speed and floor of the no-lookahead volatility estimator.,0.596537949400799
Static grid candidate 272,Direct daily source P&L,1.0468840765056606,4719,18.726190476190474,0.4010569288436747,0.33722690096448454,0.3249843504282716,1.1605877450295297,-0.44191310352770774,-0.12184089882809446,-0.41409853640491157,0.043324706257112267,0.00012469300024671307,0.004281917773218725,2.000454786890091,2.06275942823788,2.0265906507224063,2.0481905978433232,Static grid search,,0.681757656458056
"Vol forecast: fast 4w, slow 104w, floor 2%",Direct daily source P&L,1.0531999018582165,4719,18.726190476190474,0.3815687851997045,0.32321965436964073,0.32498339924614567,1.1175283314308762,-0.4281965263044196,-0.12725263660007197,-0.4572259491157342,0.023836562613142043,6.916002635956072e-05,0.002448796455539109,1.940114899008654,1.8693842749937712,1.851713718291812,2.0071115322836848,Volatility targeting,Change the speed and floor of the no-lookahead volatility estimator.,0.7137150466045273
"Vol forecast: fast 4w, slow 104w, floor 1%",Direct daily source P&L,1.0531999018582165,4719,18.726190476190474,0.3815687851997045,0.32321965436964073,0.32498339924614567,1.1175283314308762,-0.4281965263044196,-0.12725263660007197,-0.4572259491157342,0.023836562613142043,6.916002635956072e-05,0.002448796455539109,1.940114899008654,1.8693842749937712,1.851713718291812,2.0071115322836848,Volatility targeting,Change the speed and floor of the no-lookahead volatility estimator.,0.7137150466045273
Static: QQQ share of equity 100%,Direct daily source P&L,1.0359980274673037,4719,18.726190476190474,0.3871169191127479,0.3272274341842404,0.32498536089356195,1.129689850975602,-0.4301643242560902,-0.10911914882204356,-0.3796679522136332,0.029384696526185472,8.484452577240149e-05,0.0030382527646443586,1.9183370447925965,1.9290289452630673,1.8757720354738487,1.8153856979605247,Static risk budgets,Change the QQQ versus broad-US mix while holding total direct-equity risk fixed.,0.7363515312916112
Static grid candidate 007,Direct daily source P&L,1.0435612163445123,4719,18.726190476190474,0.3825236272450372,0.32391054449980794,0.32498282192570943,1.1195643340233532,-0.43408705208876197,-0.1141495597271999,-0.4177924989337362,0.024791404658474736,7.178582335382717e-05,0.002700028973098394,1.8263972734631249,1.8044707648796776,1.7907066817459254,1.7579890033315357,Static grid search,,0.7909454061251664
"Vol forecast: fast 4w, slow 26w, floor 2%",Direct daily source P&L,1.0435366104452435,4719,18.726190476190474,0.379100644866013,0.3214315800972141,0.32498358200771826,1.1119381819353742,-0.425064888050356,-0.12310191450568038,-0.421179927207183,0.021368422279450572,6.19505081609971e-05,0.0024234798971407507,1.756023971619491,1.7145621025964275,1.7011746774200507,1.7953465800475013,Volatility targeting,Change the speed and floor of the no-lookahead volatility estimator.,0.8362183754993342
"Vol forecast: fast 4w, slow 26w, floor 1%",Direct daily source P&L,1.0435366104452435,4719,18.726190476190474,0.379100644866013,0.3214315800972141,0.32498358200771826,1.1119381819353742,-0.425064888050356,-0.12310191450568038,-0.421179927207183,0.021368422279450572,6.19505081609971e-05,0.0024234798971407507,1.756023971619491,1.7145621025964275,1.7011746774200507,1.7953465800475013,Volatility targeting,Change the speed and floor of the no-lookahead volatility estimator.,0.8362183754993342
Combined: QQQ 75% + rates 16% + fast 4/26,Direct daily source P&L,1.0400260447809475,4719,18.726190476190474,0.3883442672762958,0.32811186250885266,0.32498417835942556,1.1323614321479327,-0.4749867383608254,-0.10755043017399617,-0.35431707509451466,0.03061204468973333,8.829001736370091e-05,0.003632698187494504,1.6695801538763997,1.6820167508497417,1.693036132706052,1.665247199241663,Combined candidate,,0.8748335552596538
Static grid candidate 466,Direct daily source P&L,1.0471775450224685,4719,18.726190476190474,0.3856984769914851,0.3262043280322877,0.32498527042642766,1.1267835454542234,-0.44461982879782314,-0.11930239886496109,-0.47977034921991324,0.02796625440492262,8.109631428649642e-05,0.003661690387963755,1.5214037600435093,1.58048579845588,1.5541487085803558,1.6002112315225936,Static grid search,,0.9360852197070573
Static grid candidate 171,Direct daily source P&L,1.0357280414867716,4719,18.726190476190474,0.3800395438658837,0.32211215373384505,0.32498492137190893,1.1141134632271632,-0.44882544395102464,-0.12262069501001564,-0.45255670808931114,0.022307321279321224,6.475593046191491e-05,0.0030165528928788867,1.4746657444035514,1.4725173725070086,1.5284907645516363,1.3939868554177324,Static grid search,,0.9467376830892144
"Vol forecast: fast 4w, slow 104w, floor 4%",Direct daily source P&L,1.0507728505330283,4719,18.726190476190474,0.3757543970172901,0.31900223304005965,0.3249837183613094,1.1045824281139325,-0.43108443408920216,-0.12829453971745622,-0.47734737439440744,0.018022174430727622,5.246392089128049e-05,0.0024470193379159417,1.4728154512932448,1.4335855856462618,1.4434592926473535,1.532388698447228,Volatility targeting,Change the speed and floor of the no-lookahead volatility estimator.,0.9467376830892144
"Vol forecast: fast 8w, slow 104w, floor 2%",Direct daily source P&L,1.0516239053216,4719,18.726190476190474,0.36711442758991275,0.3127022613270206,0.32498219898837144,1.085157929277875,-0.46664948814324003,-0.11971318396371547,-0.46899986564145185,0.009382205003350297,2.741248390033309e-05,0.0013042100488387452,1.4438624971893796,1.41057776566054,1.4512825232665485,1.598177026103461,Volatility targeting,Change the speed and floor of the no-lookahead volatility estimator.,0.952063914780293
"Vol forecast: fast 8w, slow 104w, floor 1%",Direct daily source P&L,1.0516239053216,4719,18.726190476190474,0.36711442758991275,0.3127022613270206,0.32498219898837144,1.085157929277875,-0.46664948814324003,-0.11971318396371547,-0.46899986564145185,0.009382205003350297,2.741248390033309e-05,0.0013042100488387452,1.4438624971893796,1.41057776566054,1.4512825232665485,1.598177026103461,Volatility targeting,Change the speed and floor of the no-lookahead volatility estimator.,0.952063914780293
Static: QQQ-trend barbell,Direct daily source P&L,1.0594749970113246,4719,18.726190476190474,0.39800094992967394,0.33504332330328646,0.3249844434944306,1.1537587265174636,-0.4274099309903626,-0.11883689873421235,-0.37145425833021345,0.04026872734311149,0.00011588573430853216,0.005644288077066096,1.4104113500413047,1.4280095292822366,1.434269205352656,1.471821812231572,Alternative allocation,Pre-specified multi-sleeve composition hypothesis.,0.9587217043941412
Static grid candidate 121,Direct daily source P&L,1.0478158624121883,4719,18.726190476190474,0.39281335920196714,0.3313257010412699,0.3249844761906319,1.1424986849043715,-0.4500810573744324,-0.11880131885189149,-0.45251212069772917,0.035081136615404684,0.00010136385524402867,0.005124353777349231,1.3588421304900462,1.3113328282036676,1.287284227876742,1.3371376756090356,Static grid search,,0.9720372836218375
Combined: sampled-grid winner + fast 4/26,Direct daily source P&L,1.0245944851058997,4719,18.726190476190474,0.39804963239127367,0.33507814560722665,0.32498577184474875,1.153976422015709,-0.42140675927175586,-0.11500348270459634,-0.41981999886348,0.04031740980471121,0.00011616649239158731,0.005888784466527338,1.3551276468837348,1.2961379058376172,1.2809689289866635,1.1721370341185362,Combined candidate,,0.9733688415446072
"Vol forecast: fast 8w, slow 52w, floor 1%",Direct daily source P&L,1.047889506838358,4719,18.726190476190474,0.36404084174186147,0.31045150159899687,0.32498236353105864,1.0781923437861956,-0.4565719384826652,-0.11738924229506051,-0.45498657671789716,0.006308619155299011,1.842908991304822e-05,0.0009677418954628337,1.3081855107727052,1.2835936717897374,1.2528542173289208,1.3909480375649905,Volatility targeting,Change the speed and floor of the no-lookahead volatility estimator.,0.9786950732356857
"Vol forecast: fast 8w, slow 52w, floor 2%",Direct daily source P&L,1.047889506838358,4719,18.726190476190474,0.36404084174186147,0.31045150159899687,0.32498236353105864,1.0781923437861956,-0.4565719384826652,-0.11738924229506051,-0.45498657671789716,0.006308619155299011,1.842908991304822e-05,0.0009677418954628337,1.3081855107727052,1.2835936717897374,1.2528542173289208,1.3909480375649905,Volatility targeting,Change the speed and floor of the no-lookahead volatility estimator.,0.9786950732356857
"Vol forecast: fast 4w, slow 52w, floor 4%",Direct daily source P&L,1.0474637715561126,4719,18.726190476190474,0.37330448232101654,0.3172198664539769,0.32498416529099555,1.0990757734875347,-0.427053715061379,-0.1282439149348102,-0.469794437610914,0.015572259734454086,4.5362084567553214e-05,0.002416227387437634,1.2896747287959742,1.2583741250640437,1.2645334968482647,1.3145584812796218,Volatility targeting,Change the speed and floor of the no-lookahead volatility estimator.,0.9786950732356857
Static grid candidate 032,Direct daily source P&L,1.0294188333933663,4719,18.726190476190474,0.3810975748759935,0.3228785271636273,0.32498077211466014,1.116346167647551,-0.42273427894000193,-0.10741153109229602,-0.40190376628975877,0.02336535228943104,6.76354103691616e-05,0.0037779196394034467,1.2298337364509464,1.1627169371528987,1.1896237625853165,1.0393606718569737,Static grid search,,0.9920106524633822
Static: remove Broad_US,Direct daily source P&L,1.0609065677870304,4719,18.726190476190474,0.3981399802308072,0.3351427677195158,0.3249841893971223,1.1540341301646133,-0.4562365538411486,-0.13212629868475986,-0.353443240209015,0.04040775764424476,0.00011624091758362648,0.0068505748351915694,1.1656200342545195,1.1964569931071152,1.2048165378203541,1.2334444155963358,Leave-one-out,Remove Broad_US and redistribute its allocation pro rata.,0.9933422103861518
"Vol forecast: fast 8w, slow 104w, floor 4%",Direct daily source P&L,1.0508127324296197,4719,18.726190476190474,0.3655809817060143,0.31157996570663377,0.3249819265351485,1.0817189123418487,-0.4687730992627498,-0.12040206603748323,-0.477148964589889,0.00784875911945182,2.297724380426771e-05,0.0013886698891907663,1.1366425307527994,1.1087202826557105,1.1567304079076657,1.2459616238475906,Volatility targeting,Change the speed and floor of the no-lookahead volatility estimator.,0.9933422103861518
Static grid candidate 260,Direct daily source P&L,1.0385242896174334,4719,18.726190476190474,0.38971513459823437,0.3290987870017448,0.3249822247290066,1.1355185285043048,-0.4402993597467205,-0.11030902457928796,-0.4041357287657148,0.031982912011671916,9.23616694106099e-05,0.005593682795180431,1.1342764827574154,1.0787946159340092,1.0774434605216934,1.0419329617094215,Static grid search,,0.9933422103861518
"Vol forecast: fast 4w, slow 26w, floor 4%",Direct daily source P&L,1.0464539954766,4719,18.726190476190474,0.37104938040312385,0.31557641773105904,0.3249841933012287,1.0940243244768337,-0.42944096206406246,-0.128029146296314,-0.4740649450280131,0.013317157816561398,3.884731897835561e-05,0.0024074561776378568,1.108479459223682,1.0865628207668019,1.09621078179542,1.1333534516768775,Volatility targeting,Change the speed and floor of the no-lookahead volatility estimator.,0.9933422103861518
Static grid candidate 183,Direct daily source P&L,1.0739789428287858,4719,18.726190476190474,0.4010436763663736,0.3372174420055338,0.3249839892666492,1.1606045646685406,-0.46377023066159484,-0.118212383537786,-0.42941529396858913,0.04331145377981116,0.00012471469224146912,0.007755129591912679,1.1047233880580885,1.1004534590795967,1.0608173519705228,1.228763815455978,Static grid search,,0.9933422103861518
